Beroep,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Kleermakers, stoffeerders en schoenmakers",2208,2257,2286,2301,2334,2377,2414,2446,2496
Bedienaars van mijninstallaties en installaties voor de verwerking van delfstoffen,2681,2727,2797,2887,2899,2903,2943,2952,3029
Bedienaars van metaalbewerkings- en metaalverwerkingsinstallaties en van installaties voor de oppervlaktebehandeling van metalen,2605,2684,2759,2841,2879,2892,2939,2949,3020
Bedienaars van machines en installaties voor de vervaardiging van chemische en fotografische producten,2950,3042,3133,3240,3287,3291,3335,3349,3436
"Bedienaars van machines voor de vervaardiging van producten van rubber, kunststof of papier",2749,2770,2816,2879,2897,2910,2952,2965,3044
"Bedienaars van machines voor de vervaardiging van producten van textiel, bont en leer",2362,2387,2433,2509,2518,2529,2569,2583,2646
Bedienaars van machines voor de vervaardiging van voedings- en genotmiddelen,2475,2488,2556,2606,2639,2650,2691,2710,2781
Bedienaars van installaties voor de houtbewerking en de vervaardiging van papier,2420,2464,2536,2614,2655,2664,2704,2720,2786
Assembleurs,2660,2740,2790,2811,2849,2858,2900,2916,2993
Treinmachinisten,2820,2899,2954,3006,3033,3048,3097,3118,3200
Chauffeurs van auto's en bestelwagens,2380,2419,2465,2519,2556,2558,2592,2600,2665
Vrachtwagen- en buschauffeurs,2516,2532,2593,2652,2680,2697,2735,2744,2817
"Bedienaars van mobiele installaties zoals grondverzetmachines, kranen en heftrucks",2552,2584,2655,2738,2773,2784,2824,2841,2910
Dekpersoneel op schepen,3335,3402,3448,3561,3605,3610,3665,3686,3780
Huishoudelijke hulpen en schoonmakers,2086,2090,2109,2131,2172,2185,2221,2242,2279
"Autowassers, ruitenwassers en wasserijpersoneel",2227,2243,2279,2310,2351,2361,2403,2428,2466
"Ongeschoolde arbeiders in de mijnbouw, de bouwnijverheid en de civieltechnische werken",2374,2404,2467,2499,2551,2560,2604,2632,2671
Ongeschoolde arbeiders in de industrie,2361,2369,2401,2441,2476,2488,2532,2556,2596
Ongeschoolde arbeiders op het gebied van transport en opslag,2426,2433,2446,2487,2507,2511,2548,2570,2609
Vuilnisophalers en verwerkers,2280,2311,2368,2409,2462,2476,2520,2548,2581
